GEOCODIGO_MUNICIPIO, NOME_MUNICIPIO, LONGITUDE, LATITUDE, POPULAÇÃO_TOTAL, Ger_RSD_(T/dia), Ger_RCD_(T/dia), Ger_RSS_(T/dia), Geração_Total_(T/dia)
5204706, CAMPINORTE, -49.156, -14.311, 11111, 5.13, 11.53, 0.0470, 16.71
5204805, CAMPO_ALEGRE_DE_GOIÁS, -47.778, -17.641, 6060, 2.55, 5.74, 0.0234, 8.32
5204854, CAMPO_LIMPO_DE_GOIÁS, -49.090, -16.299, 6241, 3.01, 6.78, 0.0276, 9.82
5204904, CAMPOS_BELOS, -46.771, -13.037, 18410, 10.53, 20.78, 0.0846, 31.40
5204953, CAMPOS_VERDES, -49.663, -14.273, 5020, 2.55, 5.74, 0.0234, 8.31
5205000, CARMO_DO_RIO_VERDE, -49.703, -15.358, 8928, 4.02, 9.04, 0.0368, 13.10
5205059, CASTELÂNDIA, -50.229, -18.090, 3638, 1.91, 4.29, 0.0175, 6.21
5205109, CATALÃO, -47.948, -18.170, 86647, 55.93, 129.91, 0.4232, 186.27
5205208, CATURAÍ, -49.503, -16.447, 4686, 2.09, 4.70, 0.0191, 6.81
5205307, CAVALCANTE, -47.463, -13.799, 9392, 2.70, 6.08, 0.0248, 8.81
5205406, CERES, -49.603, -15.307, 20722, 12.86, 25.37, 0.1033, 38.34
